# CMAP = /home/josie/irysSolveResults/fa2cmap/chilense_pilon_corrected_assembly.ArcsGraph.scaffolds_BSSSI_0kb_0labels.cmap
# filter: Minimum Labels = 0
# filter: Minimum Size (kb) = 0
CompntId	CompntName	CompntLength
33	scaffold33,2555526,r1129z285238k13a0.07m10_f1035Z2041977k5a0.2m10_f211z228311	2555546
34	scaffold34,2017156,f1037Z2017156	2017156
35	scaffold35,1935177,f1092Z1935177	1935177
36	scaffold36,1915346,f1023Z1915346	1915346
37	scaffold37,1911508,f1024Z1911508	1911508
38	scaffold38,1873576,f1025Z1873576	1873576
39	scaffold39,1854970,f1026Z1854970	1854970
40	scaffold40,1853869,f2313Z1853869	1853869
41	scaffold41,1870845,f2504Z1845408k15a0.13m10_f2203z25437	1870855
42	scaffold42,1841565,f1054Z1841565	1841565
43	scaffold43,1840401,f2158Z1840401	1840401
44	scaffold44,1798979,f1036Z1798979	1798979
45	scaffold45,1761399,f1028Z1761399	1761399
46	scaffold46,1878495,r1962z39079k10a0.3m10_f2106Z1759044k24a0.08m10_f1466z80372	1878515
47	scaffold47,1962599,f1030Z1754600k5a0.2m10_f951z207999	1962609
48	scaffold48,1874758,f2014z34391k7a0.28m10_r1172z108468k11a0.09m10_f1062Z1731899	1874778
49	scaffold49,1714921,f1061Z1714921	1714921
50	scaffold50,1708351,f2111Z1708351	1708351
51	scaffold51,1707512,f1032Z1707512	1707512
52	scaffold52,2143126,f2595z440558k11a0.18m10_f2109Z1702568	2143136
53	scaffold53,1702243,f1033Z1702243	1702243
54	scaffold54,1992537,f2293Z1694640k7a0.14m10_r449z297897	1992547
55	scaffold55,1778906,r1378z88183k12a0.16m10_f1034Z1690723	1778916
56	scaffold56,1675488,f2121Z1675488	1675488
57	scaffold57,1646163,f1039Z1646163	1646163
58	scaffold58,1643823,f1084Z1643823	1643823
59	scaffold59,1633673,f2168Z1633673	1633673
60	scaffold60,1606360,f1073Z1606360	1606360
61	scaffold61,1584442,f1096Z1584442	1584442
62	scaffold62,1557519,f1074Z1557519	1557519
63	scaffold63,1694154,f1122z139460k16a0.12m10_f2101Z1554694	1694164
64	scaffold64,2375247,r1399z86281k10a0.2m10_f2917z302271k7a0.14m10_r1236z102919k12a0.16m10_r13z330406k18a0.11m10_f1041Z1553370	2375287
65	scaffold65,1544635,f2131Z1544635	1544635
66	scaffold66,1662646,r963z120539k26a0.07m10_f2344Z1542107	1662656
67	scaffold67,1528775,f2360Z1528775	1528775
68	scaffold68,1526150,f1042Z1526150	1526150
69	scaffold69,1524550,f1057Z1524550	1524550
70	scaffold70,1522592,f1043Z1522592	1522592
71	scaffold71,2403309,f2182Z1520185k5a0.2m10_f2064z59721k5a0.2m10_r2841z675248k33a0.06m10_f715z148155	2403339
72	scaffold72,1503844,f1044Z1503844	1503844
73	scaffold73,1492575,f1059Z1492575	1492575
74	scaffold74,1487074,f1052Z1487074	1487074
75	scaffold75,1467147,f1082Z1467147	1467147
76	scaffold76,1462462,f1046Z1462462	1462462
77	scaffold77,2223696,f1063Z1458141k52a0.03m10_r2791z765555	2223706
78	scaffold78,1456770,f1047Z1456770	1456770
79	scaffold79,1452581,f2136Z1452581	1452581
80	scaffold80,1447058,f1048Z1447058	1447058
81	scaffold81,1446647,f1098Z1446647	1446647
82	scaffold82,1440084,f1049Z1440084	1440084
83	scaffold83,1433980,f1050Z1433980	1433980
84	scaffold84,1431805,f1051Z1431805	1431805
85	scaffold85,1417212,f2124Z1417212	1417212
86	scaffold86,1416540,f1055Z1416540	1416540
87	scaffold87,1398170,f2113Z1398170	1398170
88	scaffold88,1390767,f1070Z1390767	1390767
89	scaffold89,2629797,f1053Z1386997k6a0.16m10_r2359z686152k5a0.2m10_r139z556648	2629817
90	scaffold90,1386058,f2119Z1386058	1386058
91	scaffold91,1460773,f2357Z1384041k9a0.22m10_f1508z76732	1460783
92	scaffold92,1596634,f2417Z1367638k9a0.22m10_r207z228996	1596644
93	scaffold93,1364030,f2613Z1364030	1364030
94	scaffold94,1359900,f1056Z1359900	1359900
95	scaffold95,1355639,f1058Z1355639	1355639
96	scaffold96,1390203,f2423Z1324926k19a0.10m10_r1638z65277	1390213
97	scaffold97,1319395,f1071Z1319395	1319395
98	scaffold98,2511444,r413z247633k10a0.1m10_r2154z944835k18a0.11m10_f2107Z1318976	2511464
99	scaffold99,2190347,f2495Z1302624k16a0.12m10_r2138z887723	2190357
100	scaffold100,1292202,f1066Z1292202	1292202
101	scaffold101,1371513,f2334Z1289223k8a0.12m10_r1441z82290	1371523
102	scaffold102,1281286,f1067Z1281286	1281286
103	scaffold103,1374674,f1287z97196k24a0.08m10_f1068Z1277478	1374684
104	scaffold104,1273710,f2664Z1273710	1273710
105	scaffold105,1269122,f2122Z1269122	1269122
106	scaffold106,1268987,f1069Z1268987	1268987
107	scaffold107,1264233,f2118Z1264233	1264233
108	scaffold108,1262770,f2132Z1262770	1262770
109	scaffold109,1249261,f2487Z1249261	1249261
110	scaffold110,1238338,f1072Z1238338	1238338
111	scaffold111,1554457,f1075Z1221361k10a0.3m10_f144z333096	1554467
112	scaffold112,1335378,f1076Z1213494k20a0.05m10_r948z121884	1335388
113	scaffold113,1211129,f2163Z1211129	1211129
114	scaffold114,1206657,f1099Z1206657	1206657
115	scaffold115,1202686,f1078Z1202686	1202686
116	scaffold116,1197149,f1079Z1197149	1197149
117	scaffold117,1193792,f1080Z1193792	1193792
118	scaffold118,1191963,f2103Z1191963	1191963
119	scaffold119,1294010,f2576Z1191808k22a0.09m10_f1242z102202	1294020
120	scaffold120,1186921,f1081Z1186921	1186921
121	scaffold121,1734061,f2980z553444k15a0.13m10_f2301Z1180617	1734071
122	scaffold122,1224218,f2175Z1170390k6a0.16m10_f1918z53828	1224228
123	scaffold123,1165716,f1083Z1165716	1165716
124	scaffold124,1219156,f1758z55908k6a0.16m10_f2112Z1163248	1219166
125	scaffold125,1351473,f1097Z1155823k7a0.28m10_r1653z63953k7a0.28m10_r1565z131697	1351493
126	scaffold126,1325041,f545z170019k16a0.12m10_f1085Z1155022	1325051
127	scaffold127,1150627,f2386Z1150627	1150627
128	scaffold128,1406339,f1093Z1149431k9a0.22m10_r1330z256908	1406349
129	scaffold129,2112585,f2189z963982k19a0.10m10_f1086Z1148603	2112595
130	scaffold130,1138373,f2139Z1138373	1138373
131	scaffold131,1668292,f2549Z1135514k21a0.09m10_r2545z469068k7a0.14m10_r1657z63710	1668312
132	scaffold132,1132956,f2193Z1132956	1132956
133	scaffold133,1125215,f1087Z1125215	1125215
134	scaffold134,1326947,f2184Z1125107k17a0.11m10_f349z201840	1326957
135	scaffold135,1123241,f1089Z1123241	1123241
136	scaffold136,1121204,f1091Z1121204	1121204
137	scaffold137,1119190,f2612Z1119190	1119190
138	scaffold138,1113630,f2104Z1113630	1113630
139	scaffold139,1322193,f2650Z1110801k8a0.12m10_f297z211392	1322203
140	scaffold140,1461972,r633z355684k5a0.2m10_f1094Z1106288	1461982
141	scaffold141,1105643,f1095Z1105643	1105643
142	scaffold142,1372378,f2829Z1097391k11a0.18m10_f25z274987	1372388
143	scaffold143,1092116,f2795Z1092116	1092116
144	scaffold144,1081765,f1100Z1081765	1081765
145	scaffold145,1080292,f2165Z1080292	1080292
146	scaffold146,1751428,r2704z462664k7a0.28m10_f2192Z1075333k9a0.11m10_f289z213431	1751448
147	scaffold147,1073914,f2195Z1073914	1073914
148	scaffold148,1062155,f2102Z1062155	1062155
149	scaffold149,1060253,f2294Z1060253	1060253
150	scaffold150,1055465,f2105Z1055465	1055465
151	scaffold151,1049115,f2324Z1049115	1049115
152	scaffold152,1048278,f2295Z1048278	1048278
153	scaffold153,1967742,r2804z920127k6a0.16m10_f2686Z1047615	1967752
154	scaffold154,1043192,f2108Z1043192	1043192
155	scaffold155,1040725,f2190Z1040725	1040725
156	scaffold156,1040073,f2510Z1040073	1040073
157	scaffold157,1031361,f2110Z1031361	1031361
158	scaffold158,1922353,f2335z894360k21a0.09m10_f2447Z1027993	1922363
159	scaffold159,1021654,f2353Z1021654	1021654
160	scaffold160,1011896,f2143Z1011896	1011896
161	scaffold161,1010135,f2452Z1010135	1010135
162	scaffold162,1575157,r198z565562k10a0.2m10_f2453Z1009595	1575167
163	scaffold163,1009534,f2898Z1009534	1009534
164	scaffold164,1005226,f2126Z1005226	1005226
165	scaffold165,1460734,f2566z456037k14a0.14m10_f2422Z1004697	1460744
166	scaffold166,1270369,f2521Z1004181k17a0.11m10_f57z266188	1270379
167	scaffold167,1002368,f2307Z1002368	1002368
168	scaffold168,1001491,f2114Z1001491	1001491
169	scaffold169,999506,f2115Z999506	999506
170	scaffold170,997278,f2478Z997278	997278
171	scaffold171,1169435,f2117Z983766k5a0.2m10_r446z185669	1169445
172	scaffold172,974868,f2159Z974868	974868
173	scaffold173,1130217,f2419Z971886k13a0.15m10_r632z158331	1130227
174	scaffold174,1052666,f2120Z969611k10a0.2m10_r1433z83055	1052676
175	scaffold175,969219,f2123Z969219	969219
176	scaffold176,962626,f2326Z962626	962626
177	scaffold177,1377114,f426z415140k16a0.06m10_f2460Z961974	1377124
178	scaffold178,959452,f2145Z959452	959452
179	scaffold179,955221,f2408Z955221	955221
180	scaffold180,946980,f2630Z946980	946980
181	scaffold181,1215560,f2475Z946318k16a0.12m10_r40z269242	1215570
182	scaffold182,941806,f2169Z941806	941806
183	scaffold183,938146,f2125Z938146	938146
184	scaffold184,1642641,f238z707449k11a0.18m10_f2565Z935192	1642651
185	scaffold185,932128,f2464Z932128	932128
186	scaffold186,930779,f2127Z930779	930779
187	scaffold187,1226491,f2640Z928298k11a0.18m10_r2929z298193	1226501
188	scaffold188,927291,f2128Z927291	927291
189	scaffold189,1759928,f2129Z925158k8a0.25m10_r2607z834770	1759938
190	scaffold190,920123,f2330Z920123	920123
191	scaffold191,918706,f2130Z918706	918706
192	scaffold192,1138122,f2643Z916986k6a0.16m10_f250z221136	1138132
193	scaffold193,914119,f2291Z914119	914119
194	scaffold194,906692,f2172Z906692	906692
195	scaffold195,903251,f2703Z903251	903251
196	scaffold196,899161,f2133Z899161	899161
197	scaffold197,895536,f2134Z895536	895536
198	scaffold198,894981,f2135Z894981	894981
199	scaffold199,893272,f2348Z893272	893272
200	scaffold200,889405,f2137Z889405	889405
201	scaffold201,887246,f21Z887246	887246
202	scaffold202,978280,f2178Z883566k5a0.2m10_f1309z94714	978290
203	scaffold203,881947,f2187Z881947	881947
204	scaffold204,1134379,f897z127488k32a0.21m10_f2148Z879830k14a0.14m10_r904z127061	1134399
205	scaffold205,879248,f2321Z879248	879248
206	scaffold206,2020612,f347z336233k34a0.05m10_f2599Z876890k11a0.18m10_r2167z807489	2020632
207	scaffold207,876032,f2140Z876032	876032
208	scaffold208,873995,f2141Z873995	873995
209	scaffold209,872040,f2406Z872040	872040
210	scaffold210,871508,f2156Z871508	871508
211	scaffold211,869355,f2516Z869355	869355
212	scaffold212,868499,f2198Z868499	868499
213	scaffold213,867871,f2325Z867871	867871
214	scaffold214,866883,f2561Z866883	866883
215	scaffold215,866534,f2709Z866534	866534
216	scaffold216,865043,f2142Z865043	865043
217	scaffold217,862731,f2381Z862731	862731
218	scaffold218,862536,f2144Z862536	862536
219	scaffold219,861117,f2558Z861117	861117
220	scaffold220,1100115,f227z239788k11a0.09m10_f2146Z860327	1100125
221	scaffold221,859881,f2147Z859881	859881
222	scaffold222,994602,r1280z98102k11a0.09m10_r1882z45477k7a0.28m10_f2706Z851023	994622
223	scaffold223,850636,f2150Z850636	850636
224	scaffold224,850590,f2149Z850590	850590
225	scaffold225,849602,f2153Z849602	849602
226	scaffold226,848123,f2523Z848123	848123
227	scaffold227,847934,f2179Z847934	847934
228	scaffold228,847553,f2382Z847553	847553
229	scaffold229,846720,f2590Z846720	846720
230	scaffold230,845941,f2341Z845941	845941
231	scaffold231,2010793,f2372z617090k12a0.16m10_f351z386595k8a0.25m10_f2151Z845709k5a0.2m10_f599z161399	2010823
232	scaffold232,843432,f2909Z843432	843432
233	scaffold233,842636,f2152Z842636	842636
234	scaffold234,838820,f2380Z838820	838820
235	scaffold235,831464,f2743Z831464	831464
236	scaffold236,831092,f2762Z831092	831092
237	scaffold237,968192,r785z139497k11a0.18m10_f2503Z828695	968202
238	scaffold238,826340,f2155Z826340	826340
239	scaffold239,824956,f2194Z824956	824956
240	scaffold240,1780650,f2604Z824408k7a0.28m10_f2867z595716k20a0.15m10_r2934z296246k18a0.11m10_f1955z64280	1780680
241	scaffold241,1282019,r2901z306266k15a0.06m10_f2157Z824176k18a0.11m10_f1546z151577	1282039
242	scaffold242,1109379,r1471z80163k8a0.25m10_r656z205785k19a0.10m10_f2173Z823431	1109399
243	scaffold243,1342703,f84Z820308k8a0.12m10_r2866z316870k18a0.11m10_r1293z205525	1342723
244	scaffold244,1110066,f2160Z819603k8a0.12m10_r2951z290463	1110076
245	scaffold245,817916,f2162Z817916	817916
246	scaffold246,816807,f2635Z816807	816807
247	scaffold247,814469,f2662Z814469	814469
248	scaffold248,813270,f2349Z813270	813270
249	scaffold249,812692,f2161Z812692	812692
250	scaffold250,811991,f2355Z811991	811991
251	scaffold251,1204815,r320z393262k8a0.25m10_f2164Z811553	1204825
252	scaffold252,1260111,f2574z452085k18a0.11m10_f2416Z808026	1260121
253	scaffold253,909271,f2166Z806337k14a0.14m10_r1235z102934	909281
254	scaffold254,805070,f2876Z805070	805070
255	scaffold255,804255,f2397Z804255	804255
256	scaffold256,803709,f2319Z803709	803709
257	scaffold257,803224,f2297Z803224	803224
258	scaffold258,801813,f2170Z801813	801813
259	scaffold259,800242,f2769Z800242	800242
260	scaffold260,933917,f843z134099k6a0.16m10_f2300Z799818	933927
261	scaffold261,798589,f2620Z798589	798589
262	scaffold262,1029038,r579z230704k10a0.1m10_f2497Z798334	1029048
263	scaffold263,795756,f2312Z795756	795756
264	scaffold264,794122,f2171Z794122	794122
265	scaffold265,790332,f2342Z790332	790332
266	scaffold266,789724,f2345Z789724	789724
267	scaffold267,1432551,r2440z645306k9a0.11m10_f2174Z787245	1432561
268	scaffold268,786967,f2726Z786967	786967
269	scaffold269,786121,f2368Z786121	786121
270	scaffold270,911830,f2377Z785823k13a0.15m10_r913z126007	911840
271	scaffold271,785696,f2591Z785696	785696
272	scaffold272,1357052,f2455z530553k21a0.09m10_f2176Z784808k14a0.14m10_f1920z41691	1357072
273	scaffold273,784107,f2494Z784107	784107
274	scaffold274,1031648,f606z247762k9a0.22m10_f2177Z783886	1031658
275	scaffold275,1422739,f2394z641056k5a0.2m10_f2617Z781683	1422749
276	scaffold276,779738,f2569Z779738	779738
277	scaffold277,778795,f2180Z778795	778795
278	scaffold278,778118,f2358Z778118	778118
279	scaffold279,777580,f2181Z777580	777580
280	scaffold280,776778,f2454Z776778	776778
281	scaffold281,866104,f2438Z773874k10a0.1m10_r1338z92230	866114
282	scaffold282,773798,f2562Z773798	773798
283	scaffold283,773731,f2851Z773731	773731
284	scaffold284,1846192,f246z649561k23a0.13m10_r2807z423606k17a0.11m10_f2183Z773025	1846212
285	scaffold285,770073,f2777Z770073	770073
286	scaffold286,767330,f2305Z767330	767330
287	scaffold287,764829,f2186Z764829	764829
288	scaffold288,1209837,f2587z445021k26a0.26m10_f2350Z764816	1209847
289	scaffold289,764413,f2185Z764413	764413
290	scaffold290,1025321,f2188Z761141k8a0.25m10_r66z264180	1025331
291	scaffold291,759015,f2299Z759015	759015
292	scaffold292,758558,f2554Z758558	758558
293	scaffold293,757523,f2815Z757523	757523
294	scaffold294,754279,f2315Z754279	754279
295	scaffold295,753063,f2390Z753063	753063
296	scaffold296,751934,f2413Z751934	751934
297	scaffold297,982656,f2336Z750915k37a0.08m10_r194z231741	982666
298	scaffold298,749880,f2708Z749880	749880
299	scaffold299,1174636,f2692Z749405k19a0.10m10_r2627z425231	1174646
300	scaffold300,748468,f2191Z748468	748468
301	scaffold301,785738,f2748Z747880k7a0.28m10_r1975z37858	785748
302	scaffold302,741511,f2410Z741511	741511
303	scaffold303,1179509,f26Z740480k49a0.04m10_f2600z439029	1179519
304	scaffold304,740184,f2370Z740184	740184
305	scaffold305,1664844,r2774z359353k10a0.1m10_f2736Z736009k8a0.25m10_r2589z569482	1664864
306	scaffold306,1323505,f2621Z734299k11a0.18m10_f210z386463k18a0.11m10_f1251z202743	1323525
307	scaffold307,734268,f2449Z734268	734268
308	scaffold308,733159,f2399Z733159	733159
309	scaffold309,731285,f2393Z731285	731285
310	scaffold310,1196524,r2553z465349k24a0.08m10_f2197Z731175	1196534
311	scaffold311,1031527,f2798Z729256k7a0.14m10_f2918z302271	1031537
312	scaffold312,728543,f2196Z728543	728543
313	scaffold313,728099,f2352Z728099	728099
314	scaffold314,981147,f2739Z727359k20a0.1m10_f1361z253788	981157
315	scaffold315,727213,f2512Z727213	727213
316	scaffold316,856798,f2320Z723252k17a0.11m10_f1405z133546	856808
317	scaffold317,720747,f2848Z720747	720747
318	scaffold318,1132477,f68z411846k20a0.1m10_f2756Z720631	1132487
319	scaffold319,720206,f2680Z720206	720206
320	scaffold320,719823,f281Z719823	719823
321	scaffold321,719475,f2780Z719475	719475
322	scaffold322,719139,f2879Z719139	719139
323	scaffold323,719005,f2303Z719005	719005
324	scaffold324,800008,f1448z81609k6a0.16m10_f684Z718399	800018
325	scaffold325,717947,f2199Z717947	717947
326	scaffold326,716669,f2200Z716669	716669
327	scaffold327,715725,f2292Z715725	715725
328	scaffold328,712731,f2347Z712731	712731
329	scaffold329,1160826,f42Z712273k19a0.05m10_f2581z448553	1160836
330	scaffold330,711803,f2404Z711803	711803
331	scaffold331,711352,f2784Z711352	711352
332	scaffold332,710652,f2296Z710652	710652
333	scaffold333,705575,f2652Z705575	705575
334	scaffold334,704629,f2298Z704629	704629
335	scaffold335,702404,f2302Z702404	702404
336	scaffold336,702036,f2304Z702036	702036
337	scaffold337,814016,f2306Z697326k6a0.16m10_f1704z116690	814026
338	scaffold338,696794,f2309Z696794	696794
339	scaffold339,696583,f2376Z696583	696583
340	scaffold340,847394,f2835Z696252k6a0.16m10_f691z151142	847404
341	scaffold341,1100358,f2310Z695998k13a0.15m10_f245z404360	1100368
342	scaffold342,694683,f2654Z694683	694683
343	scaffold343,694569,f2311Z694569	694569
344	scaffold344,757921,f2897Z694281k8a0.12m10_r1659z63640	757931
345	scaffold345,693322,f2314Z693322	693322
346	scaffold346,693249,f2426Z693249	693249
347	scaffold347,1000257,f2316Z692616k18a0.11m10_f380z197401k24a0.08m10_f1162z110240	1000277
348	scaffold348,691293,f2317Z691293	691293
349	scaffold349,770039,f2767Z691189k7a0.28m10_r1487z78850	770049
350	scaffold350,691161,f2437Z691161	691161
351	scaffold351,691051,f2318Z691051	691051
352	scaffold352,765962,f2943Z689606k9a0.22m10_f1511z76356	765972
353	scaffold353,686627,f2564Z686627	686627
354	scaffold354,1186817,f137z406427k10a0.2m10_f2322Z684719k8a0.25m10_f1875z95671	1186837
355	scaffold355,683344,f445Z683344	683344
356	scaffold356,682872,f2476Z682872	682872
357	scaffold357,891353,f2323Z682829k12a0.08m10_f1619z101652k15a0.13m10_f1195z106872	891373
358	scaffold358,1348964,f2431z668038k6a0.16m10_f2375Z680926	1348974
359	scaffold359,856520,r1633z175700k6a0.16m10_f2391Z680820	856530
360	scaffold360,987231,f2641Z680654k13a0.15m10_f1233z102977k13a0.15m10_f773z203600	987251
361	scaffold361,836999,f1854z47432k12a0.08m10_f2354Z679441k16a0.06m10_f1163z110126	837019
362	scaffold362,679102,f2327Z679102	679102
363	scaffold363,678553,f2670Z678553	678553
364	scaffold364,677791,f2329Z677791	677791
365	scaffold365,677657,f2328Z677657	677657
366	scaffold366,1099334,f2362Z677373k5a0.2m10_r1339z421961	1099344
367	scaffold367,676909,f2511Z676909	676909
368	scaffold368,676800,f2725Z676800	676800
369	scaffold369,676039,f2793Z676039	676039
370	scaffold370,675450,f2665Z675450	675450
371	scaffold371,675293,f2331Z675293	675293
372	scaffold372,675238,f2518Z675238	675238
373	scaffold373,673809,f2332Z673809	673809
374	scaffold374,1807509,f2333Z673567k5a0.2m10_f95z462626k7a0.28m10_r168z238304k5a0.2m10_f2658z433012	1807539
375	scaffold375,672226,f2451Z672226	672226
376	scaffold376,671566,f2757Z671566	671566
377	scaffold377,670810,f2616Z670810	670810
378	scaffold378,668816,f2923Z668816	668816
379	scaffold379,1083040,r673z152752k16a0.12m10_r1239z130624k20a0.05m10_r1307z133630k8a0.12m10_f2560Z666034	1083070
380	scaffold380,664108,f2337Z664108	664108
381	scaffold381,664012,f2433Z664012	664012
382	scaffold382,1267797,f462z241600k12a0.16m10_r2981z362348k7a0.28m10_f2602Z663849	1267817
383	scaffold383,662746,f2338Z662746	662746
384	scaffold384,661541,f2339Z661541	661541
385	scaffold385,661168,f2459Z661168	661168
386	scaffold386,767339,f1183z107676k19a0.10m10_f2340Z659663	767349
387	scaffold387,1227351,f2343Z656836k12a0.16m10_r2552z570515	1227361
388	scaffold388,655705,f2675Z655705	655705
389	scaffold389,654919,f2649Z654919	654919
390	scaffold390,692132,f1965z38624k10a0.2m10_f2761Z653508	692142
391	scaffold391,653456,f2900Z653456	653456
392	scaffold392,943848,f2571Z651960k8a0.12m10_r2946z291888	943858
393	scaffold393,1085737,r611z436946k7a0.28m10_f2346Z648791	1085747
394	scaffold394,1035794,f2486Z648114k10a0.2m10_r2714z387680	1035804
395	scaffold395,881755,f2729Z646588k8a0.12m10_r182z235167	881765
396	scaffold396,644987,f2915Z644987	644987
397	scaffold397,930141,f2965z288423k22a0.09m10_f2409Z641718	930151
398	scaffold398,640163,f2351Z640163	640163
399	scaffold399,639996,f2691Z639996	639996
400	scaffold400,638820,f2466Z638820	638820
401	scaffold401,879546,r228z241437k6a0.16m10_f2356Z638109	879556
402	scaffold402,637649,f2568Z637649	637649
403	scaffold403,846341,r1409z209114k15a0.13m10_f2398Z637227	846351
404	scaffold404,636590,f401Z636590	636590
405	scaffold405,635789,f2493Z635789	635789
406	scaffold406,635551,f2563Z635551	635551
407	scaffold407,635544,f2952Z635544	635544
408	scaffold408,635139,f2361Z635139	635139
409	scaffold409,632777,f2363Z632777	632777
410	scaffold410,632153,f2567Z632153	632153
411	scaffold411,630951,f2364Z630951	630951
412	scaffold412,628656,f2711Z628656	628656
413	scaffold413,628585,f2366Z628585	628585
414	scaffold414,627863,f2367Z627863	627863
415	scaffold415,848174,f122Z627566k5a0.2m10_r254z220608	848184
416	scaffold416,1366609,r697z391657k25a0.04m10_f2629Z627150k11a0.27m10_r276z347802	1366629
417	scaffold417,1076348,f2365Z626825k10a0.1m10_f523z449523	1076358
418	scaffold418,625368,f2673Z625368	625368
419	scaffold419,685569,r1698z60523k15a0.2m10_f2805Z625046	685579
420	scaffold420,624913,f2369Z624913	624913
421	scaffold421,624445,f2846Z624445	624445
422	scaffold422,910087,r2972z286029k7a0.14m10_f2517Z624058	910097
423	scaffold423,621219,f2371Z621219	621219
424	scaffold424,619966,f2585Z619966	619966
425	scaffold425,1427040,r2772z360315k9a0.22m10_f2644Z619664k9a0.22m10_f2582z447061	1427060
426	scaffold426,1220288,f2530Z618120k23a0.08m10_f299z602168	1220298
427	scaffold427,616595,f2524Z616595	616595
428	scaffold428,615886,f2373Z615886	615886
429	scaffold429,823616,f2678Z615085k15a0.13m10_f867z208531	823626
430	scaffold430,614935,f2401Z614935	614935
431	scaffold431,614644,f2374Z614644	614644
432	scaffold432,614566,f46Z614566	614566
433	scaffold433,613047,f2392Z613047	613047
434	scaffold434,611885,f2978Z611885	611885
435	scaffold435,611288,f2611Z611288	611288
436	scaffold436,610171,f2710Z610171	610171
437	scaffold437,609818,f2407Z609818	609818
438	scaffold438,609309,f2379Z609309	609309
439	scaffold439,724842,f2378Z609108k7a0.14m10_r1106z115734	724852
440	scaffold440,607178,f2442Z607178	607178
441	scaffold441,606707,f2383Z606707	606707
442	scaffold442,843689,r175z236998k15a0.06m10_f2939Z606691	843699
443	scaffold443,646492,f2384Z604826k5a0.2m10_f1921z41666	646502
444	scaffold444,604129,f2448Z604129	604129
445	scaffold445,603406,f2385Z603406	603406
446	scaffold446,602934,f2387Z602934	602934
447	scaffold447,601897,f2388Z601897	601897
448	scaffold448,601175,f2389Z601175	601175
449	scaffold449,789493,f292Z599669k6a0.16m10_r424z189824	789503
450	scaffold450,599424,f422Z599424	599424
451	scaffold451,598104,f2958Z598104	598104
452	scaffold452,595145,f2619Z595145	595145
453	scaffold453,1135362,f314z208139k9a0.22m10_f1201z106526k9a0.22m10_f2542Z594129k11a0.18m10_f221z226568	1135392
454	scaffold454,740450,f2395Z593916k18a0.11m10_r726z146534	740460
455	scaffold455,657316,r1656z63818k7a0.14m10_f2938Z593498	657326
456	scaffold456,593458,f2647Z593458	593458
457	scaffold457,593440,f772Z593440	593440
458	scaffold458,591624,f2396Z591624	591624
459	scaffold459,703304,f2480Z591436k13a0.15m10_f1519z111868	703314
460	scaffold460,591289,f2499Z591289	591289
461	scaffold461,590503,f2515Z590503	590503
462	scaffold462,590462,f2577Z590462	590462
463	scaffold463,589655,f2724Z589655	589655
464	scaffold464,587765,f234Z587765	587765
465	scaffold465,585936,f2400Z585936	585936
466	scaffold466,760476,f2402Z583431k10a0.2m10_r492z177045	760486
467	scaffold467,583210,f2474Z583210	583210
468	scaffold468,581763,f2779Z581763	581763
469	scaffold469,581243,f2403Z581243	581243
