xMapId	refQry	refId	leftRefBkpt	rightRefBkpt	alignmentOrientation	ref_leftBkpt_toCut	ref_rightBkpt_toCut	ref_toDiscard	refQry	qryId	leftQryBkpt	rightQryBkpt	alignmentOrientation	qry_leftBkpt_toCut	qry_rightBkpt_toCut	qry_toDiscard
792	ref	579	827772	-1	-	cut	okay	okay	qry	843	119861	-1	-	okay	okay	okay
559	ref	350	367631	-1	+	cut	okay	okay	qry	410	149171	-1	+	okay	okay	okay
864	ref	657	-1	190918	-	okay	cut	okay	qry	1352	-1	58644	-	okay	okay	okay
697	ref	480	440092	-1	+	cut	okay	okay	qry	94	47724	-1	+	okay	okay	okay
497	ref	299	466060	-1	-	cut	okay	okay	qry	1692	118882	-1	-	okay	okay	okay
943	ref	772	57292	-1	-	cut	okay	okay	qry	122	314733	-1	-	okay	okay	okay
298	ref	162	337202	-1	+	cut	okay	okay	qry	1968	172965	-1	+	okay	okay	okay
1078	ref	1048	-1	162697	-	okay	cut	okay	qry	1072	-1	252815	-	okay	okay	okay
626	ref	407	121610	-1	+	cut	okay	okay	qry	210	191425	-1	+	okay	okay	okay
185	ref	99	1038710	-1	+	cut	okay	okay	qry	796	150471	-1	+	okay	okay	okay
570	ref	358	1163079	-1	-	cut	okay	okay	qry	178	327594	-1	-	okay	okay	okay
1153	ref	1257	-1	130390	-	okay	cut	okay	qry	1865	-1	137545	-	okay	okay	okay
866	ref	657	242037	-1	+	cut	okay	okay	qry	3546	78316	-1	+	okay	okay	okay
946	ref	784	-1	481727	-	okay	cut	okay	qry	72	-1	81192	-	okay	okay	okay
280	ref	147	-1	219778	+	okay	cut	okay	qry	816	-1	100086	+	okay	okay	okay
243	ref	130	-1	819963	-	okay	cut	okay	qry	323	-1	75729	-	okay	okay	okay
165	ref	90	958942	-1	+	cut	okay	okay	qry	182	102369	-1	+	okay	okay	okay
86	ref	46	-1	1784702	-	okay	cut	okay	qry	556	-1	177596	-	okay	okay	okay
907	ref	712	-1	622851	-	okay	cut	okay	qry	726	-1	125666	-	okay	okay	okay
442	ref	261	300092	417553	-	cut	cut	okay	qry	109	273749	157133	-	okay	okay	okay
402	ref	231	-1	1077824	-	okay	cut	okay	qry	47	-1	411223	-	okay	okay	okay
5	ref	2	4769718	-1	+	cut	okay	okay	qry	26	300565	-1	+	okay	okay	okay
971	ref	816	-1	214909	-	okay	cut	okay	qry	2910	-1	139017	-	okay	okay	okay
929	ref	747	-1	201239	-	okay	cut	okay	qry	54	-1	212571	-	okay	okay	okay
184	ref	99	-1	494052	-	okay	cut	okay	qry	44	-1	694500	-	okay	okay	okay
1154	ref	1260	-1	67660	-	okay	okay	okay	qry	3402	-1	30019	-	okay	cut	okay
923	ref	738	251776	393546	-	cut	cut	okay	qry	166	849947	706334	-	okay	okay	okay
339	ref	187	-1	1178398	+	okay	okay	okay	qry	175	-1	280860	+	okay	cut	okay
136	ref	75	-1	723912	-	okay	cut	okay	qry	132	-1	174655	-	okay	okay	okay
489	ref	294	448846	-1	-	cut	okay	okay	qry	183	278363	-1	-	okay	okay	okay
148	ref	84	-1	1289768	+	okay	cut	okay	qry	47	-1	344420	+	okay	okay	okay
415	ref	243	890296	-1	+	cut	okay	okay	qry	859	119247	-1	+	okay	okay	okay
142	ref	77	-1	1673418	+	okay	cut	okay	qry	1687	-1	270802	+	okay	okay	okay
928	ref	746	-1	303332	+	okay	cut	okay	qry	199	-1	150001	+	okay	okay	okay
885	ref	688	314824	-1	+	cut	okay	okay	qry	1995	82847	-1	+	okay	okay	okay
410	ref	240	394468	-1	-	cut	okay	okay	qry	291	210316	-1	-	okay	okay	okay
1120	ref	1150	69889	-1	+	cut	okay	okay	qry	1482	72419	-1	+	okay	okay	okay
951	ref	790	188490	-1	+	cut	okay	okay	qry	538	86956	-1	+	okay	okay	okay
927	ref	745	-1	272297	+	okay	cut	okay	qry	1105	-1	172872	+	okay	okay	okay
816	ref	603	444077	-1	-	cut	okay	okay	qry	927	154273	-1	-	okay	okay	okay
445	ref	263	171183	-1	-	cut	okay	okay	qry	428	331008	-1	-	okay	okay	okay
473	ref	284	1086892	-1	+	cut	okay	okay	qry	244	131761	-1	+	okay	okay	okay
289	ref	156	647055	-1	-	okay	okay	okay	qry	3334	141071	-1	-	cut	okay	okay
1069	ref	1033	60480	-1	-	cut	okay	okay	qry	1042	129839	-1	-	okay	okay	okay
908	ref	713	-1	307702	+	okay	okay	okay	qry	111	-1	222407	+	okay	okay	okay
791	ref	579	-1	834970	-	okay	cut	okay	qry	2614	-1	120248	-	okay	okay	okay
249	ref	132	754867	-1	-	cut	okay	okay	qry	1267	92978	-1	-	okay	okay	okay
300	ref	162	932744	-1	+	cut	okay	okay	qry	386	106520	-1	+	okay	okay	okay
867	ref	662	-1	600254	+	okay	cut	okay	qry	137	-1	147556	+	okay	okay	okay
89	ref	50	-1	1278402	+	okay	cut	okay	qry	86	-1	330699	+	okay	okay	okay
781	ref	568	-1	316975	-	okay	cut	okay	qry	68	-1	553769	-	okay	okay	okay
769	ref	556	-1	312339	+	okay	cut	okay	qry	1316	-1	526968	+	okay	okay	okay
324	ref	179	851144	-1	+	cut	okay	okay	qry	787	124928	-1	+	okay	okay	okay
1032	ref	935	-1	166585	+	okay	cut	okay	qry	418	-1	146462	+	okay	okay	okay
81	ref	41	-1	260033	-	okay	cut	okay	qry	1329	-1	63064	-	okay	okay	okay
1123	ref	1157	74799	-1	+	okay	okay	okay	qry	268	49347	-1	+	cut	okay	okay
4	ref	1	3623007	-1	+	cut	okay	okay	qry	3367	78757	-1	+	okay	okay	okay
622	ref	404	184504	-1	+	cut	okay	okay	qry	842	310381	-1	+	okay	okay	okay
82	ref	41	-1	1841498	-	okay	cut	okay	qry	181	-1	158257	-	okay	okay	okay
1058	ref	1009	-1	199155	+	okay	cut	okay	qry	1661	-1	102620	+	okay	okay	okay
504	ref	301	649622	-1	+	cut	okay	okay	qry	162	104922	-1	+	okay	okay	okay
859	ref	651	496072	-1	-	cut	okay	okay	qry	3332	139910	-1	-	okay	okay	okay
1196	ref	1474	41192	-1	+	cut	okay	okay	qry	21	153513	-1	+	okay	okay	okay
129	ref	68	678728	-1	-	cut	okay	okay	qry	3714	118396	-1	-	okay	okay	okay
579	ref	368	-1	368848	+	okay	cut	okay	qry	734	-1	119630	+	okay	okay	okay
205	ref	108	-1	780337	+	okay	cut	okay	qry	118	-1	185347	+	okay	okay	okay
376	ref	210	-1	138010	-	okay	cut	okay	qry	409	-1	173719	-	okay	okay	okay
189	ref	101	-1	668869	-	okay	cut	okay	qry	36	-1	363320	-	okay	okay	okay
658	ref	430	316321	-1	-	cut	okay	okay	qry	35	141619	-1	-	okay	okay	okay
277	ref	146	945009	1024958	-	cut	cut	okay	qry	812	322278	242653	-	okay	okay	okay
715	ref	500	-1	363067	-	okay	cut	okay	qry	806	-1	78493	-	okay	okay	okay
14	ref	5	-1	860304	-	okay	okay	okay	qry	1210	-1	31201	-	okay	cut	okay
281	ref	147	-1	735431	-	okay	cut	okay	qry	1059	-1	118702	-	okay	okay	okay
120	ref	64	2040452	-1	-	cut	okay	okay	qry	2429	110656	-1	-	okay	okay	okay
53	ref	25	1069818	-1	+	cut	okay	okay	qry	205	182218	-1	+	okay	okay	okay
217	ref	119	799892	-1	-	cut	okay	okay	qry	812	146759	-1	-	okay	okay	okay
1165	ref	1320	76882	-1	+	cut	okay	okay	qry	117	320354	-1	+	okay	okay	okay
431	ref	253	168543	-1	-	cut	okay	okay	qry	50	304510	-1	-	okay	okay	okay
488	ref	293	586744	-1	-	cut	okay	okay	qry	230	250827	-1	-	okay	okay	okay
8	ref	4	234977	-1	+	cut	okay	okay	qry	968	175531	-1	+	okay	okay	okay
100	ref	55	-1	253961	+	okay	cut	okay	qry	120	-1	309199	+	okay	okay	okay
195	ref	103	885869	1181192	-	okay	cut	okay	qry	89	454683	160953	-	cut	okay	okay
760	ref	545	-1	416893	+	okay	cut	okay	qry	842	-1	278697	+	okay	okay	okay
25	ref	11	-1	2825847	+	okay	cut	okay	qry	380	-1	94156	+	okay	okay	okay
646	ref	422	569922	-1	-	cut	okay	okay	qry	449	165243	-1	-	okay	okay	okay
276	ref	145	-1	789094	+	okay	cut	okay	qry	393	-1	276368	+	okay	okay	okay
799	ref	586	-1	363365	+	okay	cut	okay	qry	2146	-1	126338	+	okay	okay	okay
852	ref	638	-1	74575	+	okay	cut	okay	qry	257	-1	308733	+	okay	okay	okay
505	ref	303	252807	-1	+	cut	okay	okay	qry	781	191943	-1	+	okay	okay	okay
734	ref	516	209406	-1	+	okay	okay	okay	qry	1367	786022	-1	+	cut	okay	okay
1057	ref	1002	116365	360970	-	cut	cut	okay	qry	7	521843	289688	-	okay	okay	okay
914	ref	720	264256	-1	+	cut	okay	okay	qry	122	531416	-1	+	okay	okay	okay
117	ref	63	-1	623776	+	okay	okay	okay	qry	1484	-1	244723	+	okay	cut	okay
612	ref	394	661780	-1	+	cut	okay	okay	qry	345	77826	-1	+	okay	okay	okay
372	ref	204	873175	992259	+	cut	cut	okay	qry	1178	43520	162309	+	okay	okay	okay
67	ref	32	997921	1171769	+	cut	cut	okay	qry	3846	338765	511456	+	okay	okay	okay
644	ref	421	-1	566147	-	okay	cut	okay	qry	568	-1	388115	-	okay	okay	okay
788	ref	578	165874	322272	+	cut	cut	okay	qry	521	107433	266477	+	okay	okay	okay
900	ref	707	89867	171802	+	okay	okay	okay	qry	1038	53019	134705	+	cut	cut	okay
493	ref	297	-1	795083	+	okay	cut	okay	qry	1336	-1	159236	+	okay	okay	okay
1008	ref	888	234479	-1	-	cut	okay	okay	qry	165	575908	-1	-	okay	okay	okay
1203	ref	1509	51681	-1	+	okay	okay	okay	qry	892	253561	-1	+	okay	okay	okay
1213	ref	1587	-1	83980	-	okay	cut	okay	qry	17	-1	497886	-	okay	okay	okay
1019	ref	913	-1	524226	+	okay	cut	okay	qry	256	-1	193121	+	okay	okay	okay
262	ref	138	951722	-1	-	okay	okay	okay	qry	3443	163273	-1	-	cut	okay	okay
467	ref	280	-1	530994	-	okay	cut	okay	qry	1121	-1	105968	-	okay	okay	okay
669	ref	438	149118	240240	-	cut	cut	okay	qry	630	196674	105941	-	okay	okay	okay
301	ref	164	460980	-1	-	cut	okay	okay	qry	46	315712	-1	-	okay	okay	okay
1087	ref	1063	-1	419986	-	okay	cut	okay	qry	2842	-1	244277	-	okay	okay	okay
237	ref	129	834723	-1	-	cut	okay	okay	qry	1525	214820	-1	-	okay	okay	okay
602	ref	387	-1	1119776	+	okay	cut	okay	qry	1075	-1	152099	+	okay	okay	okay
400	ref	229	-1	612260	-	okay	cut	okay	qry	230	-1	282370	-	okay	okay	okay
756	ref	541	410755	-1	-	cut	okay	okay	qry	1411	127380	-1	-	okay	okay	okay
71	ref	35	-1	945048	-	okay	cut	okay	qry	6	-1	640691	-	okay	okay	okay
250	ref	134	292488	-1	-	cut	okay	okay	qry	748	157791	-1	-	okay	okay	okay
921	ref	736	-1	138784	-	okay	cut	okay	qry	166	-1	480174	-	okay	okay	okay
642	ref	420	319756	-1	-	okay	okay	okay	qry	1500	164985	-1	-	cut	okay	okay
79	ref	40	1404302	-1	+	cut	okay	okay	qry	46	315712	-1	+	okay	okay	okay
750	ref	537	376825	467774	-	cut	cut	okay	qry	2071	211915	122097	-	okay	okay	okay
361	ref	201	-1	161956	+	okay	okay	okay	qry	116	-1	305804	+	okay	cut	okay
1245	ref	1800	-1	105207	-	okay	cut	okay	qry	381	-1	242463	-	okay	okay	okay
354	ref	197	235566	-1	-	cut	okay	okay	qry	1763	154997	-1	-	okay	okay	okay
1063	ref	1021	233911	-1	-	cut	okay	okay	qry	2042	316506	-1	-	okay	okay	okay
691	ref	475	393188	-1	+	cut	okay	okay	qry	378	153148	-1	+	okay	okay	okay
447	ref	266	263027	-1	+	cut	okay	okay	qry	2636	58202	-1	+	okay	okay	okay
557	ref	347	546548	-1	+	cut	okay	okay	qry	892	343263	-1	+	okay	okay	okay
218	ref	121	70804	255027	+	cut	okay	okay	qry	351	311363	498627	+	okay	cut	okay
233	ref	126	734000	-1	-	cut	okay	okay	qry	9	410268	-1	-	okay	okay	okay
573	ref	364	107360	-1	-	cut	okay	okay	qry	1962	146242	-1	-	okay	okay	okay
1232	ref	1705	-1	69045	+	okay	cut	okay	qry	978	-1	78284	+	okay	okay	okay
302	ref	165	-1	484336	-	okay	cut	okay	qry	87	-1	271889	-	okay	okay	okay
1081	ref	1055	71055	162772	-	cut	cut	okay	qry	243	226731	135667	-	okay	okay	okay
725	ref	507	231618	-1	+	cut	okay	okay	qry	3085	125156	-1	+	okay	okay	okay
146	ref	83	1126035	-1	-	cut	okay	okay	qry	43	234615	-1	-	okay	okay	okay
37	ref	14	-1	2545688	-	okay	cut	okay	qry	897	-1	192598	-	okay	okay	okay
751	ref	538	-1	555676	+	okay	cut	okay	qry	1237	-1	168807	+	okay	okay	okay
465	ref	278	-1	610772	+	okay	cut	okay	qry	23	-1	93874	+	okay	okay	okay
323	ref	179	-1	863921	+	okay	cut	okay	qry	97	-1	116989	+	okay	okay	okay
1043	ref	956	41212	-1	+	cut	okay	okay	qry	891	67010	-1	+	okay	okay	okay
140	ref	77	844355	-1	+	okay	okay	okay	qry	2603	41305	-1	+	cut	okay	okay
794	ref	582	-1	447710	-	okay	cut	okay	qry	1292	-1	106128	-	okay	okay	okay
443	ref	262	535335	-1	-	cut	okay	okay	qry	509	175431	-1	-	okay	okay	okay
701	ref	488	174618	-1	-	cut	okay	okay	qry	513	160090	-1	-	okay	okay	okay
733	ref	515	-1	465920	-	okay	cut	okay	qry	41	-1	171758	-	okay	okay	okay
1136	ref	1200	42188	-1	-	cut	okay	okay	qry	1479	99136	-1	-	okay	okay	okay
968	ref	812	-1	270755	-	okay	cut	okay	qry	3057	-1	109733	-	okay	okay	okay
845	ref	630	428841	-1	-	cut	okay	okay	qry	1671	142679	-1	-	okay	okay	okay
128	ref	68	-1	645198	-	okay	cut	okay	qry	29	-1	128909	-	okay	okay	okay
842	ref	630	88109	-1	-	cut	okay	okay	qry	1957	110389	-1	-	okay	okay	okay
665	ref	434	-1	322690	-	okay	cut	okay	qry	295	-1	87762	-	okay	okay	okay
138	ref	77	-1	561462	-	okay	cut	okay	qry	4553	-1	122843	-	okay	okay	okay
102	ref	55	-1	441525	-	okay	cut	okay	qry	1517	-1	166463	-	okay	okay	okay
1127	ref	1161	157548	-1	+	cut	okay	okay	qry	471	34654	-1	+	okay	okay	okay
68	ref	32	-1	1659658	-	okay	cut	okay	qry	49	-1	270151	-	okay	okay	okay
383	ref	215	-1	320453	+	okay	cut	okay	qry	205	-1	159368	+	okay	okay	okay
352	ref	195	165787	-1	-	cut	okay	okay	qry	1438	135876	-1	-	okay	okay	okay
296	ref	161	-1	536225	-	okay	okay	okay	qry	1704	-1	39050	-	okay	cut	okay
347	ref	190	646827	-1	-	cut	okay	okay	qry	1006	129212	-1	-	okay	okay	okay
149	ref	84	1308305	-1	+	cut	okay	okay	qry	688	127230	-1	+	okay	okay	okay
1060	ref	1014	-1	245778	+	okay	cut	okay	qry	1400	-1	143541	+	okay	okay	okay
949	ref	787	-1	211263	-	okay	cut	okay	qry	725	-1	72762	-	okay	okay	okay
252	ref	134	670082	-1	+	cut	okay	okay	qry	905	142860	-1	+	okay	okay	okay
736	ref	519	83976	-1	+	cut	okay	okay	qry	138	194799	-1	+	okay	okay	okay
773	ref	560	640999	762171	-	cut	cut	okay	qry	2024	165057	44576	-	okay	okay	okay
408	ref	239	478727	-1	+	cut	okay	okay	qry	3683	126494	-1	+	okay	okay	okay
830	ref	617	-1	219610	-	okay	cut	okay	qry	3154	-1	104611	-	okay	okay	okay
54	ref	26	86175	-1	+	cut	okay	okay	qry	1097	51102	-1	+	okay	okay	okay
251	ref	134	-1	582014	+	okay	cut	okay	qry	2641	-1	161167	+	okay	okay	okay
582	ref	371	403265	-1	-	cut	okay	okay	qry	25	543981	-1	-	okay	okay	okay
325	ref	180	557112	-1	+	cut	okay	okay	qry	5613	133435	-1	+	okay	okay	okay
510	ref	306	157775	-1	-	cut	okay	okay	qry	190	176537	-1	-	okay	okay	okay
1198	ref	1493	67201	147647	+	cut	cut	okay	qry	485	117488	196070	+	okay	okay	okay
449	ref	269	83055	-1	+	cut	okay	okay	qry	938	182675	-1	+	okay	okay	okay
